Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.897524E-01,9.672880E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.019440E+02,1.036804E-01,1.189808E+03,2.269393E+03
00:20:00,2.902892E-01,9.687874E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.054082E+02,9.963347E-02,1.138012E+03,2.201607E+03
00:30:00,2.908201E-01,9.702700E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.088724E+02,9.567275E-02,1.087246E+03,2.134564E+03
00:40:00,2.913465E-01,9.717403E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.123367E+02,9.179611E-02,1.037483E+03,2.068192E+03
00:50:00,2.918697E-01,9.732017E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.158009E+02,8.800149E-02,9.887000E+02,2.002349E+03
01:00:00,2.923906E-01,9.746565E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.192652E+02,8.428785E-02,9.408837E+02,1.936913E+03
01:10:00,2.928067E-01,9.758188E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.215746E+02,8.088353E-02,8.979163E+02,1.877504E+03
01:20:00,2.931744E-01,9.768457E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.238841E+02,7.764755E-02,8.569590E+02,1.820224E+03
01:30:00,2.935092E-01,9.777809E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.261936E+02,7.454807E-02,8.176319E+02,1.764533E+03
01:40:00,2.938177E-01,9.786424E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.285031E+02,7.157446E-02,7.798079E+02,1.710312E+03
01:50:00,2.941049E-01,9.794444E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.308126E+02,6.871311E-02,7.433246E+02,1.657319E+03
02:00:00,2.943735E-01,9.801945E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.331221E+02,6.595415E-02,7.080640E+02,1.605397E+03
