Time,LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING_UNIT1::Des Latent Heat Load [W],LIVING_UNIT1::Des Latent Cool Load [W],LIVING_UNIT1::Des Latent Heat Mass Flow [kg/s],LIVING_UNIT1::Des Latent Cool Mass Flow [kg/s],LIVING_UNIT1::Des Heat Load No DOAS [W],LIVING_UNIT1::Des Sens Cool Load No DOAS [W],LIVING_UNIT1::Des Latent Heat Load No DOAS [W],LIVING_UNIT1::Des Latent Cool Load No DOAS [W],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,8.210286E+03,1.256599E+03,2.897524E-01,1.036804E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221219E+01,3.822179E+01,2.388571E+01,5.414536E+01
00:20:00,8.225503E+03,1.207554E+03,2.902892E-01,9.963347E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221217E+01,3.821555E+01,2.388579E+01,5.446097E+01
00:30:00,8.240549E+03,1.159554E+03,2.908201E-01,9.567275E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221215E+01,3.820830E+01,2.388583E+01,5.478945E+01
00:40:00,8.255469E+03,1.112573E+03,2.913465E-01,9.179611E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221213E+01,3.820687E+01,2.388586E+01,5.513076E+01
00:50:00,8.270299E+03,1.066585E+03,2.918697E-01,8.800149E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221211E+01,3.821079E+01,2.388589E+01,5.548243E+01
01:00:00,8.285063E+03,1.021579E+03,2.923906E-01,8.428785E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221211E+01,3.821711E+01,2.388592E+01,5.584107E+01
01:10:00,8.296858E+03,9.803211E+02,2.928067E-01,8.088353E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221211E+01,3.822362E+01,2.388594E+01,5.620539E+01
01:20:00,8.307280E+03,9.411031E+02,2.931744E-01,7.764755E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221211E+01,3.822525E+01,2.388599E+01,5.657208E+01
01:30:00,8.316770E+03,9.035394E+02,2.935092E-01,7.454807E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221210E+01,3.822599E+01,2.388603E+01,5.694189E+01
01:40:00,8.325513E+03,8.675012E+02,2.938177E-01,7.157446E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221209E+01,3.822821E+01,2.388607E+01,5.731654E+01
01:50:00,8.333651E+03,8.328234E+02,2.941049E-01,6.871311E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221209E+01,3.823185E+01,2.388611E+01,5.769509E+01
02:00:00,8.341263E+03,7.993865E+02,2.943735E-01,6.595415E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221209E+01,3.823600E+01,2.388615E+01,5.807756E+01
02:10:00,8.347606E+03,7.677069E+02,2.945973E-01,6.334017E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221209E+01,3.823992E+01,2.388619E+01,5.846404E+01
02:20:00,8.353153E+03,7.372948E+02,2.947930E-01,6.083080E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221209E+01,3.823972E+01,2.388623E+01,5.885032E+01
02:30:00,8.358099E+03,7.080626E+02,2.949676E-01,5.841879E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221209E+01,3.823857E+01,2.388627E+01,5.923795E+01
02:40:00,8.362557E+03,6.799187E+02,2.951249E-01,5.609660E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.823859E+01,2.388631E+01,5.962837E+01
02:50:00,8.366614E+03,6.528075E+02,2.952680E-01,5.385961E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.823989E+01,2.388635E+01,6.002214E+01
03:00:00,8.370305E+03,6.266771E+02,2.953983E-01,5.170356E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.824185E+01,2.388639E+01,6.041939E+01
03:10:00,8.373661E+03,6.013369E+02,2.955167E-01,4.961271E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.824383E+01,2.388643E+01,6.082015E+01
03:20:00,8.376766E+03,5.767326E+02,2.956263E-01,4.758259E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.824471E+01,2.388648E+01,6.122489E+01
03:30:00,8.379603E+03,5.528078E+02,2.957264E-01,4.560854E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.824543E+01,2.388653E+01,6.163444E+01
03:40:00,8.382207E+03,5.295176E+02,2.958182E-01,4.368685E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.824643E+01,2.388657E+01,6.204895E+01
03:50:00,8.384620E+03,5.068376E+02,2.959034E-01,4.181553E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.824767E+01,2.388662E+01,6.246829E+01
04:00:00,8.386934E+03,4.847373E+02,2.959851E-01,3.999203E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.824899E+01,2.388667E+01,6.289231E+01
04:10:00,8.387984E+03,4.644131E+02,2.960221E-01,3.831507E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.825025E+01,2.388672E+01,6.332094E+01
04:20:00,8.388526E+03,4.450619E+02,2.960412E-01,3.671842E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221208E+01,3.825217E+01,2.388674E+01,6.374552E+01
